Id,label
0,0
1,0
2,2
3,0
4,1
5,2
6,3
7,0
8,0
9,2
10,0
11,0
12,3
13,0
14,0
15,1
16,3
17,0
18,0
19,2
20,1
21,2
22,2
23,1
24,0
25,0
26,1
27,2
28,2
29,0
30,0
31,3
32,0
33,0
34,0
35,0
36,3
37,2
38,0
39,3
40,0
41,3
42,2
43,0
44,1
45,0
46,0
47,3
48,1
49,3
50,3
51,0
52,1
53,0
54,0
55,3
56,0
57,3
58,1
59,3
60,3
61,2
62,3
63,2
64,0
65,0
66,0
67,2
68,2
69,2
70,1
71,3
72,0
73,2
74,0
75,0
76,3
77,3
78,2
79,2
80,3
81,0
82,0
83,3
84,2
85,0
86,1
87,0
88,0
89,2
90,1
91,3
92,1
93,2
94,2
95,1
96,0
97,1
98,0
99,2
100,0
101,0
102,3
103,3
104,3
105,2
106,0
107,0
108,3
109,0
110,0
111,3
112,0
113,1
114,3
115,0
116,3
117,3
118,0
119,0
120,2
121,0
122,3
123,2
124,0
125,0
126,2
127,0
128,1
129,2
130,1
131,1
132,1
133,2
134,0
135,0
136,0
137,0
138,3
139,0
140,0
141,1
142,1
143,1
144,0
145,2
146,0
147,3
148,3
149,1
150,3
151,1
152,2
153,3
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,2
162,0
163,0
164,2
165,2
166,3
167,2
168,3
169,0
170,1
171,3
172,3
173,0
174,2
175,0
176,3
177,2
178,0
179,0
180,2
181,3
182,0
183,3
184,0
185,0
186,1
187,0
188,2
189,3
190,3
191,2
192,0
193,1
194,0
195,0
196,1
197,2
198,1
199,0
200,2
201,2
202,0
203,1
204,3
205,3
206,2
207,0
208,3
209,0
210,0
211,0
212,0
213,2
214,0
215,3
216,2
217,3
218,3
219,0
220,3
221,0
222,0
223,0
224,0
225,0
226,0
227,2
228,1
229,0
230,3
231,3
232,2
233,0
234,0
235,0
236,2
237,3
238,0
239,0
240,0
241,2
242,0
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,2
251,0
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,3
260,0
261,0
262,0
263,0
264,2
265,0
266,3
267,0
268,0
269,0
270,0
271,0
272,0
273,2
274,3
275,0
276,0
277,2
278,0
279,0
280,0
281,2
282,1
283,2
284,0
285,0
286,3
287,2
288,0
289,2
290,0
291,0
292,3
293,0
294,2
295,2
296,1
297,3
298,0
299,3
300,0
301,3
302,1
303,0
304,1
305,3
306,2
307,0
308,0
309,3
310,1
311,3
312,1
313,2
314,2
315,1
316,1
317,0
318,0
319,3
320,3
321,3
322,3
323,3
324,0
325,2
326,3
327,2
328,0
329,0
330,0
331,3
332,0
333,3
334,0
335,2
336,3
337,2
338,3
339,0
340,0
341,3
342,1
343,3
344,2
345,3
346,2
347,0
348,2
349,1
350,1
351,0
352,3
353,1
354,2
355,0
356,2
357,0
358,0
359,0
360,3
361,1
362,1
363,1
364,2
365,2
366,1
367,2
368,0
369,2
370,2
371,0
372,1
373,1
374,3
375,3
376,3
377,1
378,0
379,0
380,3
381,0
382,2
383,1
384,0
385,3
386,3
387,0
388,3
389,1
390,0
391,1
392,3
393,0
394,3
395,1
396,0
397,0
398,2
399,3
400,0
401,1
402,3
403,2
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,3
417,0
418,3
419,3
420,2
421,0
422,0
423,0
424,2
425,0
426,0
427,1
428,3
429,2
430,3
431,0
432,2
433,2
434,2
435,0
436,2
437,1
438,1
439,0
440,0
441,0
442,2
443,1
444,0
445,3
446,1
447,2
448,0
449,0
450,0
451,2
452,2
453,1
454,0
455,1
456,3
457,2
458,3
459,3
460,0
461,0
462,2
463,2
464,0
465,0
466,3
467,3
468,3
469,3
470,0
471,1
472,0
473,0
474,0
475,3
476,3
477,3
478,2
479,1
480,1
481,2
482,2
483,2
484,3
485,1
486,2
487,2
488,3
489,0
490,3
491,0
492,0
493,1
494,0
495,0
496,0
497,3
498,0
499,0
500,1
501,2
502,0
503,0
504,1
505,2
506,0
507,1
508,3
509,0
510,3
511,0
512,0
513,0
514,0
515,0
516,0
517,3
518,1
519,2
520,3
521,2
522,2
523,0
524,2
525,3
526,3
527,1
528,0
529,0
530,1
531,1
532,3
